,name,path,precision,recall,dice
50,midas_vnet50,results/midas_vnet50/predict-2024-04-07/12-05-52/metrics.csv,0.509733755882985,0.7240497393864544,0.5906035543045558
51,pc_ernet,results/pc_ernet/predict-2024-04-09/10-13-22/metrics.csv,0.8104355935122343,0.629244943413135,0.7065441348993723
52,midas_ernet50,results/midas_ernet50/predict-2024-04-07/12-05-09/metrics.csv,0.8838286989298304,0.8016538865077546,0.8303474415951635
53,csrnet0.5,results/csrnet0.5/predict-2024-04-05/20-42-06/metrics.csv,0.736546603256582,0.6236213523206673,0.6714404127171579
54,csrnet0.5,results/csrnet0.5/predict-2024-04-05/14-23-00/metrics.csv,0.8500753745842358,0.6653418326136773,0.7442301087426506
55,csrnet0.5,results/csrnet0.5/predict-2024-04-03/15-22-36/metrics.csv,0.9113712229488764,0.5908520156335604,0.7129052818692434
56,csrnet0.5,results/csrnet0.5/predict-2024-04-02/21-55-27/metrics.csv,0.8500073985769305,0.6056062008251841,0.7043559303050698
57,midas_unet,results/midas_unet/predict-2024-04-06/18-51-46/metrics.csv,0.8876184721342183,0.8203427116363765,0.8418876293498517
58,midas_ernet25,results/midas_ernet25/predict-2024-04-08/23-42-06/metrics.csv,0.7394733365055394,0.8466126266120144,0.778430718498437
59,midas_ernet25,results/midas_ernet25/predict-2024-04-08/22-36-03/metrics.csv,0.9068416115686448,0.6870533895343736,0.7709370571447939
60,midas_ernet25,results/midas_ernet25/predict-2024-04-08/23-43-15/metrics.csv,0.7571745843141368,0.8605301220030166,0.7938480224132562
61,midas_ernet25,results/midas_ernet25/predict-2024-04-08/22-35-42/metrics.csv,0.6816569431833168,0.8867509818361814,0.7602924996794229
62,pc_unet,results/pc_unet/predict-2024-04-09/10-12-40/metrics.csv,0.8710389729104715,0.4690104148263533,0.6060519343879072
63,unetr,results/unetr/predict-2024-03-29/10-13-04/metrics.csv,0.8718606155580538,0.5909745102301466,0.7022715067223347
64,midas_is25,results/midas_is25/predict-2024-04-08/19-42-52/metrics.csv,0.9261152485602584,0.3205678593342711,0.4694770950584585
65,pc_vnet,results/pc_vnet/predict-2024-04-09/10-13-01/metrics.csv,0.6520700878668074,0.6642034882712889,0.6561835634870409
66,midas_is50,results/midas_is50/predict-2024-04-08/19-42-02/metrics.csv,0.8903836039118543,0.6082310322153284,0.7137806691373025
67,midas_ernet,results/midas_ernet/predict-2024-04-08/09-58-52/metrics.csv,0.9223516101833416,0.7806211772961107,0.8353722351890511
68,midas_ernet,results/midas_ernet/predict-2024-04-08/09-59-13/metrics.csv,0.8822489499070739,0.8300333346129227,0.8437681004733928
69,pc_unet50,results/pc_unet50/predict-2024-04-09/10-36-28/metrics.csv,0.8060482549240391,0.577593240709301,0.671823409237245
70,vnet,results/vnet/predict-2024-03-29/10-14-27/metrics.csv,0.868699550118948,0.7482463630676457,0.8019312737023945
71,vnet,results/vnet/predict-2024-03-28/21-51-25/metrics.csv,0.8036597596235044,0.6512083111599872,0.7169466979031076
72,vnet,results/vnet/predict-2024-03-28/15-47-49/metrics.csv,0.8923175023965407,0.7423710410498309,0.8085364397756104
73,is0.5,results/is0.5/predict-2024-04-03/09-40-25/metrics.csv,0.8668465499201053,0.6303964707886668,0.7279380467829524
74,is0.5,results/is0.5/predict-2024-04-03/13-11-46/metrics.csv,0.5417103254349737,0.5393758159426432,0.5360462226327609
75,ernet,results/ernet/predict-2024-04-02/21-55-01/metrics.csv,0.8599852075760519,0.7719670971914472,0.8120322947640078
76,ernet,results/ernet/predict-2024-04-02/15-05-41/metrics.csv,0.8139845932260392,0.81612079037462,0.8133939301370597
